product_name,completed_ratio
"Orion Unit",0.25
"Solace Evening",0.5
"Willow Past",0.33
"Everest All",0.59
"Nimbus For",0.4
"Harbor Foot",0.57
"Everest Fast",0.4
"Orion View",0.23
"Orion Enter",0.64
"Nimbus Next",0.33
"Orion Particularly",0.67
"Pulse Run",0.45
"Zenith Trial",0.44
"Harbor Statement",0.6
"NeoTech Job",0.56
"GreenLeaf Visit",0.36
"Nimbus If",0.67
"GreenLeaf News",0.42
"Astra Else",0.46
"Everest High",0.45
"Harbor Town",0.25
"Nimbus Wide",0.71
"Everest Various",0.5
"NeoTech Position",1
"Solace Door",0.38
"Solace Discover",0.29
"Astra College",0.57
"Astra Player",0.75
"Zenith Discuss",0.43
"Willow Law",0.5
"Acme Up",0.4
"Orion Late",0.29
"Orion Coach",0.27
"NeoTech Stuff",0.67
"Orion Paper",0.33
"Astra Worker",0.4
"Astra Thing",0.75
"GreenLeaf Process",0.17
"Nimbus To",0.71
"Astra Key",0.44
"Solace Across",0.62
"Zenith Fly",0.44
"Solace Really",1
"Nimbus Us",0.4
"Harbor Somebody",0.25
"NeoTech Tell",0.4
"NeoTech Later",0.6
"Orion Among",0.56
"Nimbus Those",0.2
"Everest Image",0.3
"Zenith Too",0.33
"Solace Option",0.44
"Pulse Decide",0.29
"Willow Into",0.2
"Zenith By",0.56
"Willow Community",0.55
"Nimbus Customer",0.33
"Harbor Whole",0
"Pulse Off",0.42
"Zenith Structure",0.69
"Astra Beyond",0.33
"Astra Avoid",0.8
"Astra Pressure",0.67
"GreenLeaf Bar",0.67
"Astra Explain",0.4
"Astra Space",0.33
"Willow Leader",0.7
"Willow Wall",0.8
"Harbor Meeting",0.62
"NeoTech While",0.4
"Harbor Hear",0.64
"Zenith Soon",0.45
"GreenLeaf Relate",0.83
"Astra About",0.78
"Harbor Simple",0.71
"Nimbus East",0.5
"Willow Show",0.17
"Orion Class",0.44
"Acme Their",0.62
"Solace Foreign",0.45
"Pulse Certainly",0.67
"Astra Model",0.22
"Zenith Heart",0.44
"GreenLeaf Meet",0.6
"Pulse Answer",0.6
"Zenith Necessary",0.7
"Orion Capital",0.71
"Everest Against",0.38
"Acme Wrong",0.73
"Solace Let",0.17
"GreenLeaf Job",0.5
"NeoTech Production",0.58
"GreenLeaf System",0.45
"Pulse Understand",0.25
"NeoTech Agent",0.5
"Acme Anyone",0.29
"Orion Thought",0.2
"Astra Reveal",0.33
"Astra Pull",0.2
"Nimbus Consider",0.4
"Harbor West",0.64
"Nimbus Foreign",0.5
"Zenith Rich",0.33
"Solace Represent",1
"Harbor Notice",0.75
"Harbor None",0.88
"Willow Week",0.7
"NeoTech Knowledge",0.44
"Orion Occur",0.29
"Astra A",0.25
"NeoTech Fine",0.29
"Nimbus Deal",0.88
"Acme Whom",0.75
"NeoTech Trouble",0.56
"Solace Particular",0.64
"NeoTech Car",0.43
"GreenLeaf Next",0.75
"NeoTech Camera",0.43
"NeoTech Beat",0.3
"Harbor Think",0.38
"Willow Break",0.4
"Acme Artist",0.38
"Nimbus Nice",0.4
"Solace Administration",0.6
"Everest Tv",0.4
"Orion Involve",0.55
"Solace With",0
"Nimbus Seven",0.43
"Willow Woman",0.12
"Solace Give",0.22
"GreenLeaf Hair",0.6
"Willow Store",0.5
"Everest Budget",0.25
"Nimbus Sound",0.9
"Acme Prevent",0.5
"Nimbus Drive",0.5
"Acme Answer",0.5
"Zenith Film",0.56
"NeoTech Toward",0.33
"Solace Follow",0.5
"Zenith Begin",0.25
"Harbor Opportunity",0.58
"Orion Above",0.25
"Zenith Again",0.36
"Nimbus Job",0.43
"Zenith Church",0.64
"Astra Sea",0.79
"Zenith Hope",0.5
"GreenLeaf Guess",0.38
"Astra Pressure",0.8
"Acme Vote",0.2
"Everest Scientist",0.43
"Everest Summer",0.8
"Acme Design",0.4
"Willow Sit",0.6
"Zenith History",0.5
"Solace Education",0.43
"Acme Performance",0.5
"Harbor Improve",0.25
"Orion Defense",0.25
"Orion Former",0.57
"Astra Write",0.38
"Solace Suffer",0.5
"Willow Item",0.45
"Pulse Voice",0.22
"Orion Night",0.5
"Everest Even",0.33
"Harbor Ability",0.55
"GreenLeaf Couple",0.83
"Solace Fund",0.43
"Zenith Stop",0.61
"Harbor Movie",0.31
"Pulse Result",0
"Everest Well",0.31
"Orion Follow",0.36
"Astra Production",0.4
"GreenLeaf Sport",0.4
"GreenLeaf Concern",0.57
"Pulse Wait",0.6
"Acme Cold",0.38
"GreenLeaf Ask",0.55
"Nimbus Small",0.45
"Pulse Such",0.5
"Zenith Thought",0.44
"Solace Most",0.55
"Zenith Look",0.6
"Everest Organization",0.4
"GreenLeaf Argue",0.8
"Astra Establish",0.33
"GreenLeaf Old",0.44
"Solace Player",0.5
"Pulse Serious",0.75
"Orion Indicate",0.67
"Pulse Eight",0.83
"Zenith Large",0.64
"GreenLeaf Green",0.38
"Nimbus Under",0.11
"Zenith Left",0.5
"Acme South",0.36
"Everest Find",0.75
"Harbor Probably",0.5
"Astra Upon",0.6
"Solace A",0.27
"Solace Civil",0.71
"Solace Party",0.43
"Willow Position",0.5
"Orion Democrat",0.22
"Nimbus Safe",0.38
"Zenith School",0.37
"Zenith Coach",0.71
"Acme Like",0.4
"Everest Nearly",0.75
"Pulse Ok",0.29
"Pulse Conference",0.14
"Orion Laugh",0.83
"Everest Compare",0.62
"Willow Because",0.38
"Solace Around",0.29
"Solace Think",0.4
"Nimbus Treat",0.33
"Everest Voice",0.33
"Zenith Although",0.8
"Harbor Cup",0.5
"Acme Miss",0.25
"Harbor Success",0.45
"Orion Break",0.5
"NeoTech Better",1
"Willow Exist",0.62
"Zenith Baby",0.71
"Willow Responsibility",0.5
"Harbor Cost",0.17
"Acme Production",0.29
"Willow Film",0.6
"Harbor Nature",0.45
"NeoTech Test",0.5
"NeoTech Major",0.5
"Willow Eat",0.29
"Everest Child",0.5
"Solace School",0.57
"Zenith Myself",0.67
"Zenith Lead",0.64
"Acme Pm",0.71
"Nimbus Morning",0.33
"GreenLeaf History",0.56
"Everest Manage",0.44
"Pulse No",0.5
"NeoTech Nice",0.33
"Willow Experience",0.57
"Willow Production",0.33
"Orion Whatever",0.38
"Solace Miss",0.43
"Nimbus Condition",0.25
"Willow Several",0.57
"GreenLeaf Recent",0.25
"NeoTech Story",0.33
"NeoTech Customer",0.36
"Zenith Run",0.44
"Solace The",0.62
"Willow Position",0.56
"Astra Understand",0.27
"Solace Something",0.5
"Willow History",0.7
"Everest Make",0.4
"Nimbus Serve",0.5
"Everest Skin",0.17
"Pulse Boy",0.36
"NeoTech What",0.67
"Willow Reach",0.38
"Harbor Go",0.62
"Orion Who",0.45
"Zenith Board",0.33
"GreenLeaf Mr",0.5
"Willow Blood",0.4
"Everest Show",0.67
"Willow Nation",0.17
"NeoTech Heart",0.57
"NeoTech Well",0.54
"NeoTech Anything",0.58
"Zenith Skill",0.38
"Willow Bring",0.58
"Nimbus Present",0.5
"Everest Religious",0.73
"Astra Protect",0.67
"Everest Television",0.44
"Harbor Avoid",0.64
"Pulse Front",0.6
"Solace Glass",0.2
"Pulse Street",0.5
"GreenLeaf Happen",0.36
"Zenith Color",0.44
"Harbor Today",0.5
"GreenLeaf Age",0.86
"Everest Nor",0.14
"Nimbus Property",0.43
"Everest Dog",0.44
"Everest Police",0.6
"Everest System",0.3
"Nimbus Watch",0.8
"Orion Identify",0.22
"Everest Air",0.57
"Willow Result",0.86
"Orion Once",0.75
"Nimbus Politics",0.6
"Acme Others",0.75
"Willow Expert",0.5
"Zenith Religious",0.56
"NeoTech Difficult",0.75
"Zenith Rate",1
"GreenLeaf Reflect",0.4
"GreenLeaf Cut",0.62
"Orion After",0.36
"Solace But",0.5
"Astra Behavior",0.33
"Nimbus Environment",0.62
"Pulse Serious",0.38
"Zenith Sit",0.22
"Pulse Goal",0.57
"Everest Exactly",0.17
"Willow Need",0.73
"Everest Push",0.6
"Pulse Both",0.56
"Acme Pattern",0.44
"Zenith Whole",0.62
"NeoTech Imagine",NULL
"Zenith Reduce",0.53
"NeoTech Bring",0.78
"Orion And",0.57
"Harbor Per",0.29
"GreenLeaf Single",0.67
"Zenith Commercial",0.5
"GreenLeaf Learn",0.8
"Harbor Wind",0.6
"GreenLeaf Wrong",0.71
"Harbor Issue",0.5
"Willow Pressure",0.45
"Pulse Care",0.31
"Willow Special",0.22
"Harbor Much",0.78
"Pulse Interesting",0.71
"Orion Administration",1
"NeoTech Civil",0.67
"Solace Table",0.33
"GreenLeaf East",0.43
"Nimbus Military",0.4
"Pulse Interesting",0.62
"Acme Account",0.4
"NeoTech Fear",0.33
"Astra Later",0.55
"Nimbus Near",0.33
"Willow Attorney",0.27
"Pulse Idea",0.44
"Zenith Way",0.3
"Everest Station",0.56
"Zenith Center",0.43
"GreenLeaf Act",0.78
"Willow Surface",0.5
"NeoTech Particular",0.5
"Zenith Stay",0.43
"NeoTech Peace",0.8
"GreenLeaf Mean",0.71
"GreenLeaf Action",0.38
"GreenLeaf Front",0.36
"Astra Collection",0.75
"Harbor College",0.54
"Orion Head",0.4
"Astra Cost",0.33
"Nimbus At",0.4
"Acme Road",0.6
"Nimbus Size",0.67
"Astra West",0.6
"Astra Into",0.22
"Orion Bag",0.57
"Zenith Event",0.67
"Solace Finish",0.62
"Zenith Civil",0.57
"NeoTech Film",0.64
"GreenLeaf Star",0.71
"Willow If",0.27
"Orion Guy",0.5
"GreenLeaf Network",0.5
"Zenith He",0.64
"Willow Perform",0.5
"Everest Miss",0.57
"Pulse From",0.75
"Nimbus Test",0.33
"Solace Everyone",0.38
"Astra Special",0.4
"Astra Find",0.44
"Nimbus Before",0.67
"GreenLeaf Evidence",0.6
"Astra Nation",0.5
"NeoTech Third",0.55
"Orion Voice",0.7
"Astra May",0.33
"Zenith Partner",0.44
"Harbor Or",0.17
"Zenith Argue",0.4
"Solace Ready",0.33
"Pulse Computer",0.57
"Zenith Management",0.29
"Willow Firm",0.36
"GreenLeaf Measure",0.57
"Willow Site",0.38
"Solace Republican",0.5
"Astra Number",0
"Solace Agree",0.44
"Solace School",0.56
"Astra Federal",0.56
"Everest Source",0.2
"Nimbus Support",0.6
"Pulse Sell",0.3
"Solace Per",0.71
"NeoTech Continue",0.44
"Willow Property",0.45
"Zenith Hot",0.42
"Acme Marriage",0.43
"Harbor Action",0.4
"Harbor Story",1
"Solace Will",0.43
"NeoTech Opportunity",0.67
"Zenith Word",0.14
"Harbor Not",0.86
"GreenLeaf Less",0.2
"Zenith Conference",0.62
"NeoTech Investment",0.62
"Acme Soldier",0.12
"Harbor Different",0.25
"Acme American",0.71
"Nimbus Young",0.71
"Harbor Be",0.73
"Orion Treat",0.14
"Nimbus Radio",0.33
"Willow Hear",0.25
"Acme Four",0.57
"Willow Prepare",0.44
"Zenith Control",0.55
"Astra President",0.2
"Astra Hospital",0.5
"NeoTech Decide",0.54
"Everest Despite",0.43
"Zenith Then",1
"GreenLeaf Some",0.43
"Nimbus Bank",0.67
"Acme Year",0.62
"Nimbus Give",0.6
"Zenith Phone",0.5
"Solace Other",0.56
"Astra Goal",0.33
"Zenith Follow",0.56
"Pulse Lose",0.55
"GreenLeaf Authority",0.56
"Orion Focus",1
"GreenLeaf West",0.25
"Nimbus Financial",0.33
"Solace Media",0.5
"Everest Baby",0.5
"Harbor Size",0.62
"Acme Stock",0.56
"Pulse Consider",0.45
"Pulse Decision",0.57
"Harbor Enjoy",0.62
"GreenLeaf Effort",0.43
"Everest Deep",0.57
"Harbor Significant",0.57
"GreenLeaf Into",0.44
"Pulse Behavior",0.75
"Nimbus Market",0.33
"Astra Cell",0.56
"NeoTech Help",0.67
"Willow Determine",0.57
"Pulse Miss",0.57
"Zenith Factor",0.5
"Zenith Ago",0.43
"Nimbus Should",0.71
"NeoTech Nearly",0.8
"NeoTech Occur",0.62
"Pulse Site",0.3
"Orion Why",0.5
"Astra Son",0.5
"Astra Moment",0.57
"Nimbus Court",0.56
"Everest Figure",0.55
"Orion Method",0.6
"Harbor Doctor",0.75
"NeoTech Protect",0.77
"GreenLeaf Current",0.62
"Acme Air",0.7
"NeoTech Week",0.38
"Acme Idea",0.64
"NeoTech Everyone",0.67
"Acme Brother",0.5
"Solace Or",0.22
"GreenLeaf It",0.83
"Pulse Something",0.22
"Orion Group",0.33
"Harbor Movement",0.67
"Willow Religious",0.2
"Astra Capital",0.62
"Nimbus Person",0.38
"Willow Hospital",0.33
"Willow Pressure",0.57
"Astra These",0.17
"Astra Make",0.75
"Nimbus Goal",0.25
"GreenLeaf Design",0.46
"Willow Interesting",0.25
"Astra Tend",0.78
"Zenith Small",0.4
"Harbor Despite",0.8
"Zenith Current",0.6
"Pulse Daughter",1
"NeoTech Weight",0.64
"Orion Adult",0.2
"Harbor Buy",0.4
"Nimbus Whole",1
"Harbor Race",0.42
"Orion Side",0.22
"Zenith Direction",0.71
"Everest Beautiful",0.56
"Nimbus Analysis",0.44
"NeoTech Pick",0.5
"GreenLeaf Painting",0.73
"Willow Measure",0.29
"Zenith Rise",0.5
"GreenLeaf Last",0.47
"Acme Take",0.5
"NeoTech Career",0.57
"Solace All",0.55
"Harbor Fill",0.38
"Everest Table",0.2
"Willow West",0.5
"Everest College",0.38
"Pulse Outside",0.62
"Zenith Commercial",0.64
"Harbor Firm",0.14
"Pulse Fly",0.21
"Willow Sing",0.6
"Willow Newspaper",0.71
"Solace Budget",0.55
"Harbor Television",0.55
"Everest Later",0.6
"Orion Serious",0
"Zenith Red",0.58
"Nimbus Main",0.33
"Zenith Decade",0.6
"Zenith Story",0.75
"Harbor Better",0.43
"GreenLeaf Stage",0.67
"Pulse Arm",0.45
"Orion News",0.45
"Zenith Guess",0.33
"Pulse Idea",0.2
"Solace Subject",0.8
"Astra Mean",0.33
"Solace Camera",1
"Harbor City",0.57
"Willow Room",0.38
"Willow Box",0.4
"Zenith Rate",0.62
"Orion Structure",0.38
"NeoTech Despite",0.67
"Pulse Design",0.5
"NeoTech List",0.44
"Astra Many",0.7
"Orion Coach",0.44
"Acme Modern",0.6
"GreenLeaf Concern",0.5
"GreenLeaf Be",0.75
"Solace Group",0.43
"Acme Real",0.75
"GreenLeaf More",0.43
"Zenith Study",1
"NeoTech Administration",0.5
"Pulse Study",0.57
"Harbor Coach",0.88
"Willow Society",0.43
"Everest Coach",0.62
"Acme Them",0.58
"GreenLeaf Century",0.29
"Zenith Clear",0.38
"Astra Power",0.67
"Nimbus Subject",0.17
"GreenLeaf A",0.46
"Orion And",0.54
"Willow Somebody",0.4
"Nimbus Much",0.4
"Orion Writer",0.7
"Zenith Live",0.67
"Everest Reach",0.36
"Acme Action",0.5
"Orion Rock",0.43
"Pulse Together",0.25
"GreenLeaf Do",0.33
"Acme Stuff",0.33
"Solace Movie",0.2
"Zenith Lot",0.22
"Zenith Both",0.33
"Everest Develop",0.31
"Willow Including",0.4
"Harbor Mrs",0.75
"Orion Player",0.89
"GreenLeaf Window",0.43
"Willow Event",0.56
"NeoTech Certainly",0.6
"Nimbus Economic",0.46
"Harbor Close",0.38
"NeoTech Receive",0.33
"GreenLeaf Need",0.75
"GreenLeaf Painting",0.89
"Harbor Another",0.33
"Everest Meet",0.33
"Harbor Develop",0.54
"GreenLeaf Body",0.71
"Harbor Last",0.33
"Willow Never",0.5
"Pulse Natural",0.67
"Pulse The",0.17
"Harbor Power",0.83
"Solace Know",0.43
"Pulse Rise",0.38
"Solace Different",0.7
"Zenith Certainly",0.2
"Pulse Take",0.43
"Pulse Two",0.44
"GreenLeaf Whatever",0.44
"Acme Part",0.62
"Astra One",0.38
"Acme Far",0.78
"GreenLeaf Everybody",0.8
"GreenLeaf Common",0.22
"Everest Look",0.58
"Orion Skill",0.42
"Acme Sport",0.57
"NeoTech Fill",0.33
"Solace Minute",0.67
"Willow Also",0.5
"Solace Guess",0.67
"GreenLeaf Drive",0.67
"Zenith List",0.36
"Zenith Happy",0.6
"Orion Approach",0.25
"Orion Catch",0.25
"Solace How",0.5
"Zenith Cold",0.33
"Zenith Hope",0.75
"Harbor Source",0.43
"Astra Grow",0.38
"Harbor Group",1
"Solace Loss",0.62
"Orion Head",0.25
"Orion Number",0.64
"Everest Factor",1
"Everest Number",0.5
"Acme Cause",0.6
"Solace And",0.6
"Willow Age",0.5
"Orion Mouth",0.3
"NeoTech Son",0.29
"Harbor Body",0.5
"Nimbus Risk",0.67
"Everest Real",0.4
"Zenith Security",0.58
"Astra Deal",0.5
"Orion Role",0.71
"GreenLeaf Call",0.5
"Acme Wife",0.5
"Everest Region",0.2
"GreenLeaf Or",0.86
"Acme Half",0.44
"Nimbus Yard",1
"GreenLeaf Side",0.5
"Orion Medical",0.5
"Nimbus Tonight",0.5
"NeoTech Change",0.44
"Orion Student",0.78
"GreenLeaf Charge",0.43
"Everest Daughter",0.5
"Nimbus Someone",0.57
"Orion Chance",0.5
"GreenLeaf Condition",0.4
"Acme Bank",0.57
"Everest Memory",0
"Willow Indicate",0.71
"GreenLeaf Seem",0.57
"Harbor Bar",0.4
"Solace Song",0.38
"Nimbus These",0.46
"Nimbus Standard",0.5
"Astra Daughter",0.33
"Astra Maintain",0.38
"Everest As",0.43
"Acme Fill",0.29
"Pulse Act",0.8
"Orion Smile",0.5
"Harbor Until",0.6
"Pulse Or",0.57
"Pulse Scientist",1
"Zenith Within",0.6
"Acme Fire",0.29
"Astra Lead",0.71
"Pulse Positive",0.33
"Everest Investment",0.6
"Pulse Born",0.38
"Zenith Wrong",0.71
"Solace Sound",0.31
"Harbor Difference",0.75
"Harbor Risk",0.57
"GreenLeaf Draw",0.11
"Everest Type",0.75
"NeoTech Close",0.67
"Pulse Throughout",0.25
"NeoTech Peace",0.33
"Harbor Look",0.5
"GreenLeaf They",0.45
"Nimbus Development",0.44
"Pulse Next",0.83
"NeoTech Class",0.3
"Astra Purpose",0.4
"GreenLeaf Voice",0.56
"Nimbus Focus",0.5
"Astra Protect",0.44
"Zenith Air",0.5
"Harbor Miss",0.5
"Nimbus Hit",0.92
"Willow Around",0.5
"Everest Church",0.86
"Everest Unit",0.67
"Zenith Anyone",0.38
"Orion Attack",0.44
"Acme Gun",0.33
"Solace Car",0.5
"Willow Few",0.38
"Everest Represent",0.6
"Zenith Item",0.7
"Willow Open",0.38
"Willow Condition",0.54
"Solace Practice",0.7
"Everest Possible",0.71
"Pulse Month",0.45
"Everest Clear",0.38
"Pulse Pm",0.57
"NeoTech Method",0.6
"Orion Thought",0.29
"Willow Service",0.14
"Willow Him",0.2
"Harbor Month",0.86
"Nimbus State",0.33
"Pulse Require",0.75
"Zenith Within",0.36
"Pulse Phone",0.67
"Solace Travel",0.43
"Astra Owner",0
"Astra Computer",0.67
"GreenLeaf Plan",0.83
"Willow Exactly",0.38
"Pulse Debate",0.4
"Nimbus Prevent",0.57
"Zenith Religious",0.5
"Pulse Five",0.57
"Everest Bar",0.57
"Solace Life",0.83
"Acme Owner",0.88
"Astra Work",0.6
"Acme Effect",0.75
"Nimbus Or",0.2
"Nimbus Attorney",0.25
"Nimbus Hot",0.54
"Everest Difference",0.38
"Willow Entire",0.55
"Everest Also",0.6
"NeoTech Movement",0.64
"GreenLeaf Left",0.8
"Acme Significant",0.44
"Pulse Order",0.25
"GreenLeaf Project",0.6
"Acme Outside",0.8
"Orion Red",0.33
"Astra Enter",0.71
"Astra Success",0.5
"Nimbus Culture",0.5
"Harbor Free",0.29
"Everest School",0.57
"Nimbus Fill",0.5
"Orion Surface",0.5
"Everest Short",0.38
"Acme Personal",0.54
"Acme Recently",0.38
"NeoTech Onto",0.5
"Orion Ahead",0.57
"Willow Imagine",0.88
"Harbor Significant",0.55
"Nimbus Pass",0.43
"Willow Commercial",0.29
"Pulse Economy",0.44
"Astra Get",0.8
"Nimbus Drug",0.75
"Everest Age",0.62
"GreenLeaf If",0.18
"Everest Beautiful",0.67
"Willow Culture",0.4
"GreenLeaf At",0.67
"Pulse Commercial",0.38
"Zenith Member",0.29
"GreenLeaf Race",0.33
"Nimbus Cell",0.6
"Acme Mind",0.38
"GreenLeaf Course",0.5
"NeoTech Guy",0.5
"Everest Imagine",0.4
"Pulse Scene",0.44
"Harbor Development",0.5
"Astra My",0.55
"Nimbus Cost",0.5
"Harbor Resource",0.75
"Nimbus Mr",0.2
"Acme Trip",0.5
"Orion Garden",0.5
"Solace Interview",0.36
"Everest Smile",0.8
"Solace Glass",0.25
"NeoTech Power",0.58
"Acme So",0.31
"Willow Tree",1
"Zenith Deal",0.5
"Astra Act",0.77
"Willow Behind",0.67
"Nimbus Bag",0.5
"Acme Wide",0.45
"Everest Black",0.71
"Everest Take",0.67
"Pulse Thing",0.25
"NeoTech Rich",0.5
"Nimbus Wish",0.25
"GreenLeaf Team",0.33
"NeoTech Act",0.42
"Solace Somebody",0.4
"GreenLeaf Eat",0.3
"Astra Kitchen",0.38
"Zenith Create",1
"Pulse Bad",0.4
"Everest Raise",0.14
"GreenLeaf Note",0.5
"Acme Character",0.33
"Orion Blood",1
"Nimbus Learn",0.57
"Acme Provide",0.18
"Pulse Direction",0.78
"Astra Cost",0.56
"Nimbus Agree",0.6
"Solace System",0.5
"Zenith Reduce",0.12
"Willow Something",0.17
"Nimbus Today",0.5
"Nimbus Congress",0.6
"Nimbus Difficult",0.57
"Pulse Possible",0.64
"Pulse Drop",0.5
"Everest Early",0.44
"GreenLeaf Star",0.5
"Solace Something",0
"Orion Break",0.38
"Orion Room",0.29
"Astra Our",0.64
"Harbor For",0.5
"Nimbus Foot",0.14
"GreenLeaf Visit",0.5
"Nimbus Professional",0.2
"Harbor System",0.8
"Orion Right",0.62
"Acme Sign",0.5
"Everest Shake",0.62
"Astra Anyone",0.5
"Everest Design",0.33
"Everest Food",0.6
"Everest Also",0.57
"Zenith Way",0.44
